cve,repo,commit
CVE-2014-8546,FFmpeg,e7e5114c506957f40aafd794e06de1a7e341e9d5
CVE-2014-8547,FFmpeg,8f1457864be8fb9653643519dea1c6492f1dde57
CVE-2014-8548,FFmpeg,c727401aa9d62335e89d118a5b4e202edf39d905
CVE-2014-8549,FFmpeg,550f3e9df3410b3dd975e590042c0d83e20a8da3
CVE-2014-9316,FFmpeg,0eecf40935b22644e6cd74c586057237ecfd6844
CVE-2014-9317,FFmpeg,79ceaf827be0b070675d4cd0a55c3386542defd8
CVE-2014-9318,FFmpeg,1d3a3b9f8907625b361420d48fe05716859620ff
CVE-2014-9319,FFmpeg,ea38e5a6b75706477898eb1e6582d667dbb9946c
CVE-2014-9602,FFmpeg,93a5a16f136d095d23610f57bdad10ba88120fba
CVE-2014-9603,FFmpeg,3030fb7e0d41836f8add6399e9a7c7b740b48bfd
CVE-2014-9604,FFmpeg,3881606240953b9275a247a1c98a567f3c44890f
CVE-2015-1208,FFmpeg,3ebd76a9c57558e284e94da367dd23b435e6a6d0
CVE-2015-1872,FFmpeg,fabbfaa095660982cc0bc63242c459561fa37037
CVE-2015-3395,FFmpeg,f7e1367f58263593e6cee3c282f7277d7ee9d553
CVE-2015-3417,FFmpeg,e8714f6f93d1a32f4e4655209960afcf4c185214
CVE-2015-6761,FFmpeg,dabea74d0e82ea80cd344f630497cafcb3ef872c
CVE-2015-6818,FFmpeg,47f4e2d8960ca756ca153ab8e3e93d80449b8c91
CVE-2015-6819,FFmpeg,84afc6b70d24fc0bf686e43138c96cf60a9445fe
CVE-2015-6820,FFmpeg,79a98294da6cd85f8c86b34764c5e0c43b09eea3
CVE-2015-6821,FFmpeg,b160fc290cf49b516c5b6ee0730fd9da7fc623b1
CVE-2015-6822,FFmpeg,39bbdebb1ed8eb9c9b0cd6db85afde6ba89d86e4
CVE-2015-6823,FFmpeg,f7068bf277a37479aecde2832208d820682b35e6
CVE-2015-6824,FFmpeg,a5d44d5c220e12ca0cb7a4eceb0f74759cb13111
CVE-2015-6825,FFmpeg,f1a38264f20382731cf2cc75fdd98f4c9a84a626
CVE-2015-6826,FFmpeg,3197c0aa87a3b7190e17d49e6fbc7b554e4b3f0a
CVE-2015-8216,FFmpeg,d24888ef19ba38b787b11d1ee091a3d94920c76a
CVE-2015-8217,FFmpeg,93f30f825c08477fe8f76be00539e96014cc83c8
CVE-2015-8218,FFmpeg,d4a731b84a08f0f3839eaaaf82e97d8d9c67da46
CVE-2015-8219,FFmpeg,43492ff3ab68a343c1264801baa1d5a02de10167
CVE-2015-8363,FFmpeg,44a7f17d0b20e6f8d836b2957e3e357b639f19a2
CVE-2015-8364,FFmpeg,df91aa034b82b77a3c4e01791f4a2b2ff6c82066
CVE-2015-8365,FFmpeg,4a9af07a49295e014b059c1ab624c40345af5892
CVE-2015-8661,FFmpeg,4ea4d2f438c9a7eba37980c9a87be4b34943e4d5
CVE-2015-8662,FFmpeg,75422280fbcdfbe9dc56bde5525b4d8b280f1bc5
CVE-2015-8663,FFmpeg,abee0a1c60612e8638640a8a3738fffb65e16dbf
CVE-2016-10190,FFmpeg,2a05c8f813de6f2278827734bf8102291e7484aa
CVE-2016-10191,FFmpeg,7d57ca4d9a75562fa32e40766211de150f8b3ee7
CVE-2016-10192,FFmpeg,a5d25faa3f4b18dac737fdb35d0dd68eb0dc2156
CVE-2016-2213,FFmpeg,0aada30510d809bccfd539a90ea37b61188f2cb4
CVE-2016-2326,FFmpeg,7c0b84d89911b2035161f5ef51aafbfcc84aa9e2
CVE-2016-2327,FFmpeg,7ec9c5ce8a753175244da971fed9f1e25aef7971
CVE-2016-2328,FFmpeg,ad3b6fa7d83db7de951ed891649af93a47e74be5
CVE-2016-2329,FFmpeg,89f464e9c229006e16f6bb5403c5529fdd0a9edd
CVE-2016-2330,FFmpeg,03d83ba34b2070878909eae18dfac0f519503777
CVE-2016-3062,FFmpeg,689e59b7ffed34eba6159dcc78e87133862e3746
CVE-2016-6164,FFmpeg,8a3221cc67a516dfc1700bdae3566ec52c7ee823
CVE-2016-6920,FFmpeg,01aee8148d4fa439cce678a11f5110656c98de1f
CVE-2017-11399,FFmpeg,ba4beaf6149f7241c8bd85fe853318c2f6837ad0
CVE-2017-11665,FFmpeg,ffcc82219cef0928bed2d558b19ef6ea35634130
CVE-2017-11719,FFmpeg,296debd213bd6dce7647cedd34eb64e5b94cdc92
CVE-2017-14054,FFmpeg,124eb202e70678539544f6268efc98131f19fa49
CVE-2017-14055,FFmpeg,4f05e2e2dc1a89f38cd9f0960a6561083d714f1e
CVE-2017-14056,FFmpeg,96f24d1bee7fe7bac08e2b7c74db1a046c9dc0de
CVE-2017-14057,FFmpeg,7f9ec5593e04827249e7aeb466da06a98a0d7329
CVE-2017-14058,FFmpeg,7ec414892ddcad88313848494b6fc5f437c9ca4a
CVE-2017-14059,FFmpeg,7e80b63ecd259d69d383623e75b318bf2bd491f6
CVE-2017-14169,FFmpeg,9d00fb9d70ee8c0cc7002b89318c5be00f1bbdad
CVE-2017-14170,FFmpeg,900f39692ca0337a98a7cf047e4e2611071810c2
CVE-2017-14171,FFmpeg,c24bcb553650b91e9eff15ef6e54ca73de2453b7
CVE-2017-14222,FFmpeg,9cb4eb772839c5e1de2855d126bf74ff16d13382
CVE-2017-14223,FFmpeg,afc9c683ed9db01edb357bc8c19edad4282b3a97
CVE-2017-14225,FFmpeg,837cb4325b712ff1aab531bf41668933f61d75d2
CVE-2017-14767,FFmpeg,c42a1388a6d1bfd8001bf6a4241d8ca27e49326d
CVE-2017-15672,FFmpeg,c20f4fcb74da2d0432c7b54499bb98f48236b904
CVE-2017-16840,FFmpeg,3228ac730c11eca49d5680d5550128e397061c85
CVE-2017-17081,FFmpeg,58cf31cee7a456057f337b3102a03206d833d5e8
CVE-2017-7862,FFmpeg,8c2ea3030af7b40a3c4275696fb5c76cdb80950a
CVE-2017-7863,FFmpeg,e477f09d0b3619f3d29173b2cd593e17e2d1978e
CVE-2017-7865,FFmpeg,2080bc33717955a0e4268e738acf8c1eeddbf8cb
CVE-2017-7866,FFmpeg,e371f031b942d73e02c090170975561fabd5c264
CVE-2017-9608,FFmpeg,611b35627488a8d0763e75c25ee0875c5b7987dd
CVE-2017-9991,FFmpeg,441026fcb13ac23aa10edc312bdacb6445a0ad06
CVE-2017-9992,FFmpeg,f52fbf4f3ed02a7d872d8a102006f29b4421f360
CVE-2017-9993,FFmpeg,189ff4219644532bdfa7bab28dfedaee4d6d4021
CVE-2017-9994,FFmpeg,6b5d3fb26fb4be48e4966e4b1d97c2165538d4ef
CVE-2017-9996,FFmpeg,1e42736b95065c69a7481d0cf55247024f54b660
CVE-2018-10001,FFmpeg,47b7c68ae54560e2308bdb6be4fb076c73b93081
CVE-2018-12458,FFmpeg,e1182fac1afba92a4975917823a5f644bee7e6e8
CVE-2018-12459,FFmpeg,2fc108f60f98cd00813418a8754a46476b404a3c
CVE-2018-12460,FFmpeg,b3332a182f8ba33a34542e4a0370f38b914ccf7d
CVE-2018-13300,FFmpeg,95556e27e2c1d56d9e18f5db34d6f756f3011148
CVE-2018-13301,FFmpeg,2aa9047486dbff12d9e040f917e5f799ed2fd78b
CVE-2018-13302,FFmpeg,ed22dc22216f74c75ee7901f82649e1ff725ba50
CVE-2018-13303,FFmpeg,00e8181bd97c834fe60751b0c511d4bb97875f78
CVE-2018-13304,FFmpeg,bd27a9364ca274ca97f1df6d984e88a0700fb235
CVE-2018-13305,FFmpeg,d08d4a8c7387e758d439b0592782e4cfa2b4d6a4
CVE-2018-14394,FFmpeg,3a2d21bc5f97aa0161db3ae731fc2732be6108b8
CVE-2018-14395,FFmpeg,fa19fbcf712a6a6cc5a5cfdc3254a97b9bce6582
CVE-2018-15822,FFmpeg,6b67d7f05918f7a1ee8fc6ff21355d7e8736aa10
CVE-2018-1999010,FFmpeg,cced03dd667a5df6df8fd40d8de0bff477ee02e8
